tweet_id,annotation1,annotation2,annotation3,gold_label
1385740850446045184,Supportive,Supportive,Supportive,Supportive
1385783052916465664,Supportive,Supportive,Supportive,Supportive
1386302789433843712,Supportive,Supportive,Supportive,Supportive
1387820304811003904,Supportive,Supportive,Supportive,Supportive
1386434225486790656,Supportive,Supportive,Supportive,Supportive
1385882047776952320,Not Supportive,Supportive,Not Supportive,Not Supportive
1385725614225821696,Supportive,Supportive,Supportive,Supportive
1385518928017899520,Supportive,Supportive,Supportive,Supportive
1386344172295266304,Supportive,Supportive,Supportive,Supportive
1385343428024836096,Supportive,Supportive,Supportive,Supportive
1385788364364795904,Supportive,Supportive,Supportive,Supportive
1386347721276100608,Supportive,Supportive,Supportive,Supportive
1385899996055105536,Supportive,Supportive,Supportive,Supportive
1385614015011905536,Supportive,Supportive,Supportive,Supportive
1385734047020851200,Supportive,Supportive,Supportive,Supportive
1385707655432491008,Supportive,Supportive,Supportive,Supportive
1385539023641452288,Supportive,Supportive,Supportive,Supportive
1385936370368192512,Supportive,Supportive,Supportive,Supportive
1385275948338139136,Supportive,Supportive,Supportive,Supportive
1385339985667235840,Supportive,Supportive,Supportive,Supportive
1386402881301979136,Supportive,Supportive,Supportive,Supportive
1385872630662663936,Supportive,Supportive,Supportive,Supportive
1385922568952164352,Supportive,Supportive,Supportive,Supportive
1385823601924972288,Supportive,Supportive,Supportive,Supportive
1386210898713456640,Supportive,Supportive,Supportive,Supportive
1386038914700382208,Supportive,Supportive,Supportive,Supportive
1385841396506980352,Supportive,Supportive,Supportive,Supportive
1385836009141776384,Supportive,Supportive,Supportive,Supportive
1387171290201607936,Supportive,Supportive,Supportive,Supportive
1386057407252553728,Supportive,Supportive,Supportive,Supportive
1385580222909620224,Not Supportive,Supportive,Not Supportive,Not Supportive
1385857198123798528,Supportive,Supportive,Supportive,Supportive
1385524920126484480,Supportive,Supportive,Supportive,Supportive
1386244727809482752,Supportive,Supportive,Supportive,Supportive
1386657331400912896,Supportive,Supportive,Supportive,Supportive
1385861411671212032,Supportive,Supportive,Supportive,Supportive
1386315923934433280,Supportive,Supportive,Supportive,Supportive
1385853074049167104,Supportive,Supportive,Supportive,Supportive
1386028416496021504,Supportive,Supportive,Supportive,Supportive
1389362791643967488,Supportive,Supportive,Supportive,Supportive
1386336596421660672,Supportive,Supportive,Supportive,Supportive
1385847023040073728,Supportive,Supportive,Not Supportive,Supportive
1385858003329601536,Not Supportive,Supportive,Supportive,Supportive
1385971391036497920,Supportive,Supportive,Supportive,Supportive
1385928504240451584,Supportive,Supportive,Supportive,Supportive
1385812383323598848,Supportive,Supportive,Supportive,Supportive
1387295892370116608,Supportive,Supportive,Not Supportive,Supportive
1385876302100631552,Supportive,Supportive,Supportive,Supportive
1385982207219716096,Supportive,Supportive,Supportive,Supportive
1385855068071555072,Supportive,Supportive,Supportive,Supportive
1385760543022018304,Supportive,Supportive,Supportive,Supportive
1385447283286757120,Supportive,Supportive,Supportive,Supportive
1385285155401748480,Supportive,Supportive,Supportive,Supportive
1386305406360641536,Supportive,Supportive,Supportive,Supportive
1385818685672148736,Supportive,Supportive,Supportive,Supportive
1386138257751109632,Supportive,Supportive,Supportive,Supportive
1385830000000000000,Supportive,Supportive,Supportive,Supportive
1386183622168821504,Supportive,Supportive,Supportive,Supportive
1385749688675077888,Supportive,Supportive,Supportive,Supportive
1385901618026061824,Supportive,Supportive,Supportive,Supportive
1386943640279334912,Supportive,Supportive,Supportive,Supportive
